credit,sex,education,marital_status,age,bill_sep05,bill_aug05,bill_jul05,bill_jun05,bill_may05,bill_apr05,paid_sep05,paid_aug05,paid_jul05,paid_jun05,paid_may05,paid_apr05,default
30000,female,undergraduate,single,23,20059,21061,22092,23104,23420,24045,1641,1672,1684,1000,1000,1000,1
190000,female,gradaute,single,26,174519,179122,182680,154753,90540,92248,9000,8382,10221,10000,3000,10490,1
230000,female,gradaute,single,33,4213,1922,5346,6971,10707,15392,0,5500,4000,11000,5000,5000,1
110000,male,diploma,married,38,14084,11129,9316,7681,8897,11729,2500,2500,1000,1500,3000,500,0
440000,male,gradaute,single,29,26430,23509,278956,274859,99618,103884,1249,279048,10758,5000,5080,2515,0
500000,male,gradaute,single,30,24349,9543,53947,84388,26154,175790,9605,54218,84839,26283,175857,4914,0
200000,female,gradaute,married,40,0,114558,1898,849,-171,14686,114558,3796,849,0,14857,0,0
60000,male,undergraduate,single,41,14895,6750,5784,5246,3760,11411,6750,5784,5246,3760,11411,7435,0
100000,female,gradaute,single,36,0,780,0,0,0,0,780,0,0,7600,0,0,0
60000,male,undergraduate,single,25,61514,61748,58583,28301,29301,14400,1800,0,600,1000,300,28154,0
60000,female,diploma,married,46,58584,59250,52413,44436,28098,26749,2700,2219,1727,1120,1500,1100,0
350000,female,gradaute,single,32,0,0,0,0,0,0,0,0,0,0,0,0,1
300000,female,diploma,other,53,0,0,0,0,0,0,0,0,0,0,0,0,0
170000,male,gradaute,married,36,82898,80400,29253,29196,22400,3605,10000,1400,2500,0,3605,0,0
500000,female,gradaute,married,44,706,1108,380,-270,2305,2733,1242,380,22,2575,3009,6026,0
50000,male,undergraduate,single,28,49417,48104,49348,28433,53718,27084,1966,2210,1946,983,1950,946,0
80000,female,diploma,single,55,76414,78009,78616,49662,48867,48278,3100,2420,2000,1656,1693,1767,0
30000,male,undergraduate,single,34,19785,24633,23961,23289,22779,51224,5500,0,0,0,3400,512,0
130000,male,undergraduate,single,30,95799,97858,100534,105347,103550,109733,4500,5200,8000,0,8100,0,0
110000,male,undergraduate,single,47,72897,72755,71698,72418,72293,73954,3290,3200,2700,2800,3000,2650,0
230000,female,undergraduate,married,34,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,female,gradaute,single,30,45977,45931,45344,36789,28918,23095,1823,1818,1312,879,781,800,0
60000,female,undergraduate,married,48,9015,14700,438,2575,0,4532,14700,438,2575,0,4532,3566,0
